"";"Date";"month_year";"day_year";"year";"day_abs";"week_abs";"month_abs";"week_year";"week_year_num"
"75";2006-03-16;"03";"16";"2006";75;12;1;"2006-W11";"11"
"76";2006-03-17;"03";"17";"2006";76;12;1;"2006-W11";"11"
"77";2006-03-18;"03";"18";"2006";77;12;1;"2006-W11";"11"
"78";2006-03-19;"03";"19";"2006";78;12;1;"2006-W11";"11"
"79";2006-03-20;"03";"20";"2006";79;13;1;"2006-W12";"12"
"80";2006-03-21;"03";"21";"2006";80;13;1;"2006-W12";"12"
"81";2006-03-22;"03";"22";"2006";81;13;1;"2006-W12";"12"
"82";2006-03-23;"03";"23";"2006";82;13;1;"2006-W12";"12"
"83";2006-03-24;"03";"24";"2006";83;13;1;"2006-W12";"12"
"84";2006-03-25;"03";"25";"2006";84;13;1;"2006-W12";"12"
"85";2006-03-26;"03";"26";"2006";85;13;1;"2006-W12";"12"
"86";2006-03-27;"03";"27";"2006";86;14;1;"2006-W13";"13"
"87";2006-03-28;"03";"28";"2006";87;14;1;"2006-W13";"13"
"88";2006-03-29;"03";"29";"2006";88;14;1;"2006-W13";"13"
"89";2006-03-30;"03";"30";"2006";89;14;1;"2006-W13";"13"
"90";2006-03-31;"03";"31";"2006";90;14;1;"2006-W13";"13"
"91";2006-04-01;"04";"01";"2006";91;14;1;"2006-W13";"13"
"92";2006-04-02;"04";"02";"2006";92;14;1;"2006-W13";"13"
"93";2006-04-03;"04";"03";"2006";93;15;1;"2006-W14";"14"
"94";2006-04-04;"04";"04";"2006";94;15;1;"2006-W14";"14"
"95";2006-04-05;"04";"05";"2006";95;15;1;"2006-W14";"14"
"96";2006-04-06;"04";"06";"2006";96;15;1;"2006-W14";"14"
"97";2006-04-07;"04";"07";"2006";97;15;1;"2006-W14";"14"
"98";2006-04-08;"04";"08";"2006";98;15;1;"2006-W14";"14"
"99";2006-04-09;"04";"09";"2006";99;15;1;"2006-W14";"14"
"100";2006-04-10;"04";"10";"2006";100;16;1;"2006-W15";"15"
"101";2006-04-11;"04";"11";"2006";101;16;1;"2006-W15";"15"
"102";2006-04-12;"04";"12";"2006";102;16;1;"2006-W15";"15"
"103";2006-04-13;"04";"13";"2006";103;16;1;"2006-W15";"15"
"104";2006-04-14;"04";"14";"2006";104;16;1;"2006-W15";"15"
"105";2006-04-15;"04";"15";"2006";105;16;1;"2006-W15";"15"
"106";2006-04-16;"04";"16";"2006";106;16;1;"2006-W15";"15"
"107";2006-04-17;"04";"17";"2006";107;17;1;"2006-W16";"16"
"108";2006-04-18;"04";"18";"2006";108;17;1;"2006-W16";"16"
"109";2006-04-19;"04";"19";"2006";109;17;1;"2006-W16";"16"
"110";2006-04-20;"04";"20";"2006";110;17;1;"2006-W16";"16"
"111";2006-04-21;"04";"21";"2006";111;17;1;"2006-W16";"16"
"112";2006-04-22;"04";"22";"2006";112;17;1;"2006-W16";"16"
"113";2006-04-23;"04";"23";"2006";113;17;1;"2006-W16";"16"
"114";2006-04-24;"04";"24";"2006";114;18;1;"2006-W17";"17"
"115";2006-04-25;"04";"25";"2006";115;18;1;"2006-W17";"17"
"116";2006-04-26;"04";"26";"2006";116;18;1;"2006-W17";"17"
"117";2006-04-27;"04";"27";"2006";117;18;1;"2006-W17";"17"
"118";2006-04-28;"04";"28";"2006";118;18;1;"2006-W17";"17"
"119";2006-04-29;"04";"29";"2006";119;18;1;"2006-W17";"17"
"120";2006-04-30;"04";"30";"2006";120;18;1;"2006-W17";"17"
"121";2006-05-01;"05";"01";"2006";121;19;1;"2006-W18";"18"
"122";2006-05-02;"05";"02";"2006";122;19;1;"2006-W18";"18"
"123";2006-05-03;"05";"03";"2006";123;19;1;"2006-W18";"18"
"124";2006-05-04;"05";"04";"2006";124;19;1;"2006-W18";"18"
"125";2006-05-05;"05";"05";"2006";125;19;1;"2006-W18";"18"
"126";2006-05-06;"05";"06";"2006";126;19;1;"2006-W18";"18"
"127";2006-05-07;"05";"07";"2006";127;19;1;"2006-W18";"18"
"128";2006-05-08;"05";"08";"2006";128;20;1;"2006-W19";"19"
"129";2006-05-09;"05";"09";"2006";129;20;1;"2006-W19";"19"
"130";2006-05-10;"05";"10";"2006";130;20;1;"2006-W19";"19"
"131";2006-05-11;"05";"11";"2006";131;20;1;"2006-W19";"19"
"132";2006-05-12;"05";"12";"2006";132;20;1;"2006-W19";"19"
"133";2006-05-13;"05";"13";"2006";133;20;1;"2006-W19";"19"
"134";2006-05-14;"05";"14";"2006";134;20;1;"2006-W19";"19"
"135";2006-05-15;"05";"15";"2006";135;21;1;"2006-W20";"20"
