annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2006;05.12.2006;LORGUES;83072;NINA;97;26;1;NA;0;NA;0;0;1,
2010;06.01.2010;LA_GORGUE;59268;GALATANE;108;16;1;1;0;0;NA;0;1,
2009;06.02.2009;SAUXILLANGES;63415;ESPOIR_DE_MELS;10;17;2;3;0;NA;0;0;1,
2009;06.03.2009;SAINT_AUBIN_LE_GUICHARD;27515;TINOROSA;90;30;1;6;0;NA;NA;0;1,
2012;06.03.2012;PEYRAT_DE_BELLAC;87116;TEDDINGTON;98;2;4;5;0;1;NA;1;1,
2011;06.07.2011;LE_PLESSIS_HEBERT;27465;VOYOU;110;3;2;4;NA;NA;NA;0;1,
2007;06.09.2007;REUX;14534;TABORA_VAN_T_HOLLAKEN;98;11;1;NA;NA;0;NA;0;1,
2008;06.09.2008;BREANCON;95102;TORNADE;97;1.5;1;4;0;NA;0;0;1,
2011;06.09.2011;TOURGEVILLE;14701;ALF_PREMIER;NA;NA;NA;2;1;NA;0;1;1,
2006;06.10.2006;VIMOUTIERS;61508;ZABUMBA;92;9;1;NA;0;0;NA;0;1,
2009;06.10.2009;FOULBEC;27260;VALERIANE_POTERIE;108;0.6;1;3;0;NA;0;0;1,
2010;06.10.2010;LE_CAILAR;30059;CAMARGUE;28;4;2;6;1;NA;0;1;1,
2011;06.10.2011;FROMENTAL;87068;NA;NA;NA;NA;NA;NA;NA;NA;0;1,
2009;06.11.2009;GIEVILLE;50202;OUPS_DE_L_HOTEL;90;7;2;1;0;NA;0;0;1,
2012;06.11.2012;GAUVILLE_LA_CAMPAGNE;27282;MERMOZ;97;2;12;NA;0;1;NA;1;1,
2012;06.11.2012;MAGNY_LES_HAMEAUX;78356;PRIAMOS_D_ARMANVILLE;NA;2;NA;5;1;0;NA;1;1,
2009;07.01.2009;MONTENDRE;17240;TOLEDO_DE_CHARLES;108;1.5;3;2;0;0;0;0;1,
2009;07.01.2009;TROUILLAS;66217;BRINDILLE;18;15;1;1;0;0;0;0;1,
2011;07.01.2011;MEILLANT;18142;NO_NAME_1_;98;0.8;3;3;0;1;0;1;1,
2011;07.02.2011;AGNEZ_LES_DUISANS;62011;NARINA_DU_GY;75;9;1;1;1;NA;NA;1;1,
2011;07.02.2011;AGNEZ_LES_DUISANS;62011;QUICK_D_AVRIL;75;7;2;4;1;NA;NA;1;1,
2006;07.03.2006;DOZULE;14229;QUICHERAT_QUISAS;108;2;3;3;1;0;NA;1;1,
2008;07.03.2008;SAINT_OUEN_EN_CHAMPAGNE;72307;LADY_BIRD_FAST;18;3;1;3;0;0;NA;0;1,
2012;07.03.2012;INGUINEL;56089;TACOMA;91;1;16;4;0;1;0;1;1,
2012;07.03.2012;MOULES_ET_BAUCELS;34174;HINDI;116;1;17;4;0;0;0;0;1,
2006;07.04.2006;IGE;61207;DEESSE;108;15;1;4;NA;NA;NA;0;1,
2012;07.04.2012;OTTONVILLE;57530;FOXY_LADY;97;1;2;NA;0;1;NA;1;1,
2007;07.05.2007;CREANCES;50151;ABELAR;7;5;2;4;NA;NA;NA;0;1,
2008;07.05.2008;MAIZEROY_CHEVILLON;57431;IDOLE;75;16;1;4;0;NA;NA;0;1,
2008;07.05.2008;SANRY_SUR_NIED;57627;LEILA;17;9;1;4;0;NA;NA;0;1,
2008;07.06.2008;AIRAN;14005;TOMMY;108;1.5;NA;3;1;NA;NA;1;1,
2010;07.06.2010;BEDARIEUX;34028;UTOPIA;75;2;1;4;1;0;0;1;1,
2012;07.06.2012;GIEL_COURTEILLES;61189;PETITE_OURS;86;1;7;3;0;1;0;1;1,
