NOM_COMM;XX;YY;horse
OUESSANT;51700;2410400;23
ILE-MOLENE;60200;2402400;0
ILE-DE-SEIN;64300;2362100;0
LE CONQUET;74400;2396000;80
LAMPAUL-PLOUARZEL;75200;2407200;10
PORSPODER;76500;2412500;400
TREBABU;76800;2398100;29
PLOGOFF;77400;2360600;53
PLOUGONVELIN;77700;2395900;51
LANILDUT;77900;2410500;21
PLOUARZEL;78300;2405600;98
PLOUMOGUER;78300;2401200;40
LANDUNVEZ;78600;2416300;132
CLEDEN-CAP-SIZUN;79200;2362500;19
BRELES;81200;2408900;42
PLOURIN;81700;2412500;125
PRIMELIN;82800;2359400;15
LOCMARIA-PLOUZANE;82900;2397600;56
PLOUDALMEZEAU;83100;2416200;101
GOULIEN;84000;2362600;5
LAMPAUL-PLOUDALMEZEAU;84900;2417900;27
LANRIVOARE;84900;2408100;115
SAINT-RENAN;85300;2403500;53
ESQUIBIEN;85800;2359100;21
CAMARET-SUR-MER;86600;2385800;62
PLOUZANE;86700;2398000;150
SAINT-PABU;87000;2418700;57
AUDIERNE;87300;2358500;13
TREOUERGAT;87600;2411000;5
PLOUGUIN;88700;2414800;91
ROSCANVEL;89100;2391200;51
GUILERS;89800;2402400;226
MILIZAC;89800;2406800;92
GUIPRONVEL;90000;2410400;2
BEUZEC-CAP-SIZUN;90500;2363500;64
LANDEDA;90500;2421200;99
PONT-CROIX;91100;2360700;51
PLOUHINEC;91600;2357000;184
TREGLONOU;92100;2416500;144
COAT-MEAL;92300;2411900;64
BOHARS;93000;2403500;59
CROZON;93300;2382600;181
BREST;94000;2399900;482
LANNILIS;94100;2418800;91
BOURG-BLANC;95200;2410400;71
MEILARS;95700;2361300;0
MAHALON;96700;2358000;64
PLOZEVET;96900;2353100;63
PLOUGUERNEAU;97000;2422300;261
LANVEOC;97200;2385700;61
GOUESNOU;97400;2404700;36
PLOUVIEN;98100;2415100;161
POULLAN-SUR-MER;98700;2363500;13
PLOVAN;100100;2347200;28
POULDREUZIC;100100;2350400;84
PENMARCH;100500;2333700;76
GUILER-SUR-GOYEN;100800;2356500;16
PLABENNEC;101100;2409700;193
TREGUENNEC;101300;2341700;17
TREOGAT;101400;2344600;30
LE RELECQ-KERHUON;101500;2399600;70
GUIPAVAS;102100;2402600;139
KERNILIS;102500;2418700;50
LOC-BREVALAIRE;102600;2416300;6
PLOUGASTEL-DAOULAS;102600;2394800;248
GUISSENY;102900;2423300;158
LANDUDEC;103100;2354000;48
TELGRUC-SUR-MER;103200;2380500;82
SAINT-JEAN-TROLIMON;103300;2339100;29
POULDERGAT;103700;2358900;23
DOUARNENEZ;103900;2363400;108
PLOMEUR;104100;2336300;141
LE DRENNEC;104300;2413900;40
GUILVINEC;104400;2332200;9
LANARVILY;104400;2417000;26
PEUMERIT;105000;2348300;52
KERSAINT-PLABENNEC;105100;2407700;48
KERLOUAN;105500;2426500;92
SAINT-FREGANT;105500;2421100;24
TREFFIAGAT;106400;2332400;10
LE FOLGOET;106700;2417400;28
LANDEVENNEC;106900;2385500;131
PLONEOUR-LANVERN;107000;2343900;249
SAINT-DIVY;107200;2404800;58
KERNOUES;107600;2420400;55
GOURLIZON;107700;2356900;1
PLOGASTEL-SAINT-GERMAIN;107700;2351500;69
LOPERHET;107800;2396900;180
ARGOL;108000;2381600;22
SAINT-THONAN;108100;2407300;58
LA FOREST-LANDERNEAU;108200;2402500;78
LE JUCH;108300;2360200;37
SAINT-NIC;108600;2377500;12
KERLAZ;108800;2364200;5
PLOBANNALEC;108900;2334100;72
BRIGNOGAN-PLAGE;109000;2428400;0
PLOUDANIEL;109100;2412300;102
LOGONNA-DAOULAS;109200;2390600;66
PLOUNEOUR-TREZ;109200;2426200;52
LESNEVEN;109700;2418600;173
PONT-L_ABBE;110000;2338900;134
TREMEOC;110300;2343400;99
PLONEVEZ-PORZAY;110900;2368000;20
DIRINON;111200;2398500;106
TREGARANTEC;111200;2415100;8
DAOULAS;111300;2393500;171
GOULVEN;111400;2423400;52
PLOUIDER;111400;2420900;63
LOCTUDY;112000;2334100;51
LANDERNEAU;112100;2404000;125
PLONEIS;112100;2355000;32
LOCRONAN;112600;2364500;22
TREGARVAN;112600;2380100;8
HOPITAL-CAMFROUT;112800;2389800;54
PLOMODIERN;113000;2373800;45
PLOEVEN;113200;2371200;18
GUENGAT;113300;2358200;48
PLOUEDERN;113300;2407500;28
TREMAOUEZAN;113300;2410400;13
PLUGUFFAN;113400;2350500;36
SAINT-MEEN;113400;2415600;54
ILE-TUDY;114200;2337100;11
TREFLEZ;114200;2423500;59
COMBRIT;114300;2340900;137
SAINT-URBAIN;114700;2397800;33
PENCRAN;115200;2402900;15
ROSNOEN;115300;2383700;73
PLOMELIN;115700;2346200;114
IRVILLAC;116000;2394300;63
PLOGONNEC;116400;2361500;156
PLOUNEVENTER;116800;2411400;146
LANNEUFFRET;117000;2408500;2
DINEAULT;117100;2377400;44
LA ROCHE-MAURICE;117500;2406000;48
LANHOUARNEAU;117700;2417500;69
QUEMENEVEN;117800;2366300;29
TREFLEVENEZ;118200;2399500;21
PLOUNEVEZ-LOCHRIST;118500;2422300;180
GOUESNACH;118600;2343900;108
SAINT-DERRIEN;118700;2413900;16
LA MARTYRE;118900;2401900;45
LE FAOU;119600;2387200;54
CAST;120000;2369600;81
HANVEC;120200;2389900;388
PLOUESCAT;120300;2427300;175
CLOHARS-FOUESNANT;120500;2341600;29
SAINT-SERVAIS;120500;2410400;17
QUIMPER;120700;2352700;519
BENODET;120800;2339400;43
LE TREHOU;121500;2396800;60
PLOUDIRY;122100;2403800;136
SAINT-VOUGAY;122100;2418600;45
PONT-DE-BUIS-LES-QUIMERCH;122100;2383600;103
SAINT-ELOY;122200;2393400;35
LANDREVARZEC;122700;2362800;44
PLOUGAR;123000;2414800;39
BODILIS;123300;2410200;65
PORT-LAUNAY;123300;2377000;3
PLEUVEN;123400;2343300;25
SAINT-SEGAL;123900;2379000;17
CHATEAULIN;124000;2375400;72
SAINT-COULITZ;124200;2373000;11
CLEDER;124300;2426400;180
LOC-EGUINER;125000;2405700;7
FOUESNANT;125100;2339100;277
PLOUZEVEDE;125800;2418600;113
TREFLAOUENAN;125800;2422500;33
SAINT-EVARZEC;126400;2347300;108
BRIEC;126800;2362900;82
TREZILIDE;126900;2420500;49
ERGUE-GABERIC;127100;2353800;128
PLOUGOURVEST;127100;2414200;103
LOCMELAR;127300;2402700;54
LOTHEY;127300;2372800;10
LANDIVISIAU;127600;2410000;679
LOPEREC;127700;2386100;130
SIZUN;127800;2396400;226
SIBIRIL;128200;2426400;75
LAMPAUL-GUIMILIAU;128900;2406300;94
LA FORET-FOUESNANT;129200;2343400;145
LANDUDAL;129700;2358500;36
PLOUGOULM;130300;2425400;57
MESPAUL;130700;2420800;83
GOUEZEC;131100;2371100;51
PLOUVORN;131100;2416400;223
PLEYBEN;131500;2378700;212
SAINT-RIVOAL;131500;2391100;95
SAINT-SAUVEUR;131500;2402100;61
EDERN;131600;2365500;135
SANTEC;131600;2430200;60
SAINT-YVY;131700;2347600;0
GUIMILIAU;132100;2405800;137
ILE-DE-BATZ;133200;2435100;24
COMMANA;133400;2397700;108
CONCARNEAU;133500;2340400;237
GUICLAN;133900;2412500;104
BRASPARTS;134100;2387500;93
LANGOLEN;134400;2360200;63
SAINT-POL-DE-LEON;134400;2426900;96
PLOUENAN;134500;2421200;135
ROSCOFF;134600;2431200;116
ELLIANT;134900;2352700;248
LOC-EGUINER-SAINT-THEGONNEC;135100;2402700;11
SAINT-THOIS;135900;2368800;42
BOTMEUR;136600;2393700;25
LENNON;136600;2374600;15
SAINT-THEGONNEC;136700;2408800;80
LANNEDERN;137400;2383900;7
LE CLOITRE-PLEYBEN;137500;2380400;38
TREGOUREZ;138000;2363400;56
TREGUNC;138000;2333500;102
HENVIC;138400;2422200;20
MELGVEN;138500;2341800;124
CORAY;138900;2358900;56
CARANTEC;139700;2424500;41
PLOUNEOUR-MENEZ;140300;2401100;139
TAULE;140400;2418800;98
LAZ;140700;2366500;54
SAINTE-SEVE;140700;2413900;31
LOQUEFFRET;140900;2388100;46
TOURCH;140900;2354300;280
PLEYBER-CHRIST;141600;2408300;98
BRENNILIS;141800;2391400;58
LA FEUILLEE;142000;2394900;85
ROSPORDEN;142000;2346600;121
CHATEAUNEUF-DU-FAOU;142500;2372300;93
NEVEZ;142500;2330700;80
PLONEVEZ-DU-FAOU;142900;2379700;465
LOCQUENOLE;143200;2420700;5
SAINT-MARTIN-DES-CHAMPS;143300;2415300;80
PONT-AVEN;143900;2336900;100
LEUHAN;144900;2362300;83
MORLAIX;146100;2417800;202
SAINT-GOAZEC;146300;2367800;9
PLOUEZOCH;146900;2421900;54
PLOURIN-LES-MORLAIX;146900;2409100;181
LE CLOITRE-SAINT-THEGONNEC;147000;2402200;74
COLLOREC;147100;2383400;63
PLOUGASNOU;147400;2426400;161
SCAER;147800;2353900;392
BERRIEN;148500;2395700;109
HUELGOAT;148700;2391100;130
RIEC-SUR-BELON;149300;2333900;123
LANDELEAU;149600;2378900;50
BANNALEC;149700;2343400;293
GARLAN;150100;2418100;51
PLOUYE;150100;2386400;162
SAINT-JEAN-DU-DOIGT;151000;2425300;32
ROUDOUALLEC;151300;2363900;83
SPEZET;152100;2371200;318
PLOUGONVEN;152200;2406900;185
LE TREVOUX;152200;2338100;29
MOELAN-SUR-MER;152300;2328900;182
LOCMARIA-BERRIEN;152900;2390300;33
LANMEUR;153800;2422000;112
PLOUIGNEAU;154500;2414300;232
CLEDEN-POHER;154600;2377400;101
BAYE;155200;2334200;53
GUIMAEC;155200;2426000;46
SAINT-THURIEN;155500;2345400;32
SCRIGNAC;155800;2397800;48
GUISCRIFF;155900;2355000;169
KERGLOFF;156300;2381500;67
LANNEANOU;156700;2405700;19
PLOUEGAT-GUERAND;157300;2419500;60
MELLAC;157400;2338800;81
CLOHARS-CARNOET;158000;2327100;257
POULLAOUEN;158000;2388600;114
LOCQUIREC;158100;2426200;17
GOURIN;158100;2365200;420
SAINT-HERNIN;158300;2373200;146
LE PONTHOU;159100;2412200;17
BOTSORHEL;159400;2406400;65
QUIMPERLE;159400;2333900;210
LE SAINT;160700;2360600;140
QUERRIEN;160800;2344800;157
PLOUEGAT-MOYSAN;160900;2413400;84
TREMEL;161100;2417300;33
PLESTIN-LES-GREVES;161300;2422000;67
BOLAZEC;161400;2399100;37
PLOUNEVEZEL;161800;2384600;73
MOTREFF;161900;2374300;53
CARHAIX-PLOUGUER;162100;2379700;250
TREMEVEN;162100;2338800;12
LANVENEGEN;162400;2350200;155
GUERLESQUIN;162700;2409000;85
GUIDEL;163700;2326600;294
PLOUGRAS;164100;2405000;106
TREOGAN;164100;2370400;34
PLOURAC_H;164400;2396200;41
PLUFUR;164400;2417700;32
GROIX;164400;2309100;71
REDENE;164500;2333400;50
LE FAOUET;164500;2355000;140
TREDUDER;165200;2422500;15
TREFFRIN;165200;2382800;23
LOCUNOLE;165200;2341100;77
CARNOET;165300;2389600;51
PLEVIN;165400;2374400;126
PLOUNERIN;165900;2412700;72
TREDREZ-LOCQUEMEAU;165900;2428300;27
SAINT-MICHEL-EN-GREVE;166100;2424600;54
LOHUEC;166500;2400900;86
TREBEURDEN;166900;2435300;127
PLOEMEUR;166900;2319500;213
LANGONNET;167200;2364000;305
PLOUZELAMBRE;167400;2421600;10
LE MOUSTOIR;167600;2379800;85
LANVELLEC;167700;2417000;34
GESTEL;167800;2327900;28
ARZANO;168100;2337300;143
MESLAN;168500;2347900;85
TREBRIVAN;168700;2383800;69
QUEVEN;169000;2325100;53
PLUSQUELLEC;169200;2393700;47
PLOUMILLIAU;169400;2425500;215
PONT-SCORFF;169400;2331200;71
PAULE;169500;2374500;165
LOGUIVY-PLOUGRAS;169600;2406100;56
GUILLIGOMARC_H;169700;2342800;77
PRIZIAC;170100;2355400;150
CALANHEL;170200;2398200;14
PLEUMEUR-BODOU;170200;2436600;155
PLOULEC_H;170600;2429200;27
LARMOR-PLAGE;170600;2317400;156
TREGASTEL;171000;2440200;155
PLOUARET;171100;2418100;200
LORIENT;171800;2321200;257
DUAULT;172500;2389600;63
LA CHAPELLE-NEUVE;173000;2400800;39
PLOUNEVEZ-MOEDEC;173400;2410400;94
LANNION;173600;2431800;250
CLEGUER;173700;2333800;96
PORT-LOUIS;173700;2316500;22
MAEL-CARHAIX;173800;2381000;192
PERROS-GUIREC;173800;2439100;132
BERNE;174000;2347200;86
LOCARN;174100;2385900;95
PLOUBEZRE;174200;2425300;100
CALLAC;174400;2395900;118
LE VIEUX-MARCHE;174400;2417300;80
GAVRES;174600;2314800;6
GLOMEL;174700;2371700;267
LE CROISTY;174700;2355600;111
SAINT-QUAY-PERROS;174900;2436000;35
CAUDAN;175100;2328000;147
PLOURAY;175100;2363800;144
SAINT-TUGDUAL;175400;2359500;92
LOCMIQUELIC;175500;2318700;17
LOC-ENVEL;175600;2405500;0
LANESTER;175800;2323000;137
SAINT-CARADEC-TREGOMEL;176100;2352300;83
PLOUAY;176300;2340500;257
TREGROM;176800;2415000;159
SAINT-SERVAIS;177200;2391700;82
RIANTEC;177200;2317200;60
KERNASCLEDEN;177500;2349400;129
LOUANNEC;177700;2436000;136
TONQUEDEC;177700;2423900;75
BELLE-ISLE-EN-TERRE;177800;2407800;31
CALAN;177800;2335300;24
PLOUGONVER;178000;2402700;127
ROSPEZ;179200;2430600;39
PLUZUNET;179500;2419400;87
SAINT-NICODEME;179500;2387900;61
SAUZON;179700;2276400;138
KERGRIST-MOELOU;180100;2381200;63
CAOUENNEC-LANVEZEAC;180300;2427200;11
HENNEBONT;180400;2326900;279
KERMARIA-SULARD;180500;2434700;27
ROSTRENEN;180500;2373100;234
BULAT-PESTIVIEN;180700;2396800;96
TRELEVERN;180900;2437700;31
LOUARGAT;181100;2410900;159
CAVAN;181200;2424500;48
TREZENY;181200;2432400;17
PLOERDUT;181200;2358600;180
LANMERIN;181400;2430900;13
MELLIONNEC;181700;2367100;295
KERVIGNAC;181700;2322500;154
MERLEVENEZ;181700;2318500;130
LIGNOL;182000;2351300;68
INZINZAC-LOCHRIST;182100;2332200;225
PLOUHINEC;182100;2314100;135
INGUINIEL;182300;2343300;98
BANGOR;182400;2271700;91
QUEMPERVEN;182700;2429100;47
TREVOU-TREGUIGNEC;182800;2438800;46
LANVAUDAN;183500;2337600;57
MAEL-PESTIVIEN;183600;2393200;70
PEUMERIT-QUINTIN;183700;2388700;66
COATREVEN;183800;2433300;13
LE PALAIS;184200;2274900;68
PONT-MELVEZ;184500;2400900;64
ETEL;184500;2309900;18
BERHET;184600;2426000;6
GURUNHUEL;184600;2404800;34
TREMARGAT;184700;2384900;61
CAMLEZ;184800;2435400;65
PRAT;185200;2424100;71
BEGARD;185300;2418800;194
PLOUGUERNEVEL;185400;2374100;194
LANGOELAN;185500;2361500;37
LANGOAT;185600;2430000;24
PERSQUEN;185800;2349700;33
PEDERNEC;186000;2413500;83
PENVENAN;186000;2439000;113
BRANDERION;186000;2324800;12
SAINTE-HELENE;186000;2316500;22
MANTALLOT;186100;2427300;2
PLOUNEVEZ-QUINTIN;186300;2379800;230
GUEMENE-SUR-SCORFF;187100;2355300;20
NOSTANG;187100;2320600;57
TREGLAMUS;187400;2410000;122
BELZ;187400;2311400;44
ERDEVEN;187500;2307400;176
LESCOUET-GOUAREC;187900;2366700;21
SAINT-PIERRE-QUIBERON;188000;2294700;76
KERIEN;188100;2393500;172
COATASCORN;188200;2422500;22
PLELAUFF;188400;2369900;125
MOUSTERU;188600;2406700;100
BUBRY;188600;2344400;116
LA ROCHE-DERRIEN;188700;2430900;23
LOCMARIA;188700;2270000;46
LANRIVAIN;188800;2387800;309
MINIHY-TREGUIER;188800;2433400;234
SAINT-LAURENT;188800;2416400;14
LOCMALO;188800;2354700;87
QUIBERON;188900;2290700;113
GOUAREC;189300;2374000;19
POMMERIT-JAUDY;189700;2428500;65
LANGUIDIC;189700;2329500;539
PLOUHARNEL;189800;2303100;91
BRELIDY;190100;2420100;32
PLOUGUIEL;190100;2437500;77
SILFIAC;190300;2363900;96
RUNAN;190500;2424200;6
PLOUGRESCANT;190600;2441200;29
BOURBRIAC;190700;2399600;411
TREGUIER;190800;2435100;24
TROGUERY;191300;2432400;6
SAINTE-TREPHINE;191400;2377300;27
LOCOAL-MENDON;191500;2314400;193
SEGLIEN;191500;2359000;68
KERMOROC_H;191700;2416100;13
LANDEBAERON;191700;2418600;5
QUISTINIC;191700;2337500;129
LANDEVANT;191800;2322100;168
MAGOAR;192000;2392300;45
PLOUISY;192300;2412600;103
SAINT-NICOLAS-DU-PELEM;192300;2383500;130
PERRET;192500;2368300;12
GRACES;192600;2408300;25
LANDAUL;192600;2318700;88
COADOUT;192700;2405000;83
HENGOAT;192800;2431000;40
POULDOURAN;192800;2432700;13
PLOUEC-DU-TRIEUX;193200;2422400;70
TREDARZEC;193200;2435700;75
LANISCAT;193600;2374300;73
CARNAC;193800;2303800;251
PLOEMEL;194000;2309500;78
PLOEZAL;194100;2427400;76
MELRAND;194300;2344600;99
SQUIFFIEC;194500;2418500;37
TREGONNEAU;194600;2415800;7
GUERN;194600;2351300;120
KERPERT;194800;2390800;117
GUINGAMP;194900;2409900;74
KERBORS;194900;2439200;18
SAINTE-BRIGITTE;195100;2367100;55
PONTRIEUX;195600;2425300;19
SAINT-IGEAUX;195600;2378300;26
PABU;195900;2412300;74
SAINT-ADRIEN;195900;2401900;38
PLESIDY;196000;2396500;96
LA TRINITE-SUR-MER;196100;2301800;65
PLEUDANIEL;196400;2432100;43
PLEUMEUR-GAUTIER;196800;2436400;63
SAINT-CLET;197000;2421900;64
SAINT-GELVEN;197100;2372600;52
CANIHUEL;197400;2384800;90
PLOUMAGOAR;197900;2406300;234
BRECH;197900;2314700;193
CLEGUEREC;198200;2361400;325
MALGUENAC;198300;2354800;84
SAINT-BARTHELEMY;198300;2339000;32
SAINT-GILLES-PLIGEAUX;198400;2389400;255
PLEUBIAN;198600;2441200;39
BAUD;198700;2333200;193
SAINT-AGATHON;198800;2409900;59
SAINT-PHILIBERT;198800;2301100;42
SAINT-PEVER;198900;2400900;43
POMMERIT-LE-VICOMTE;199000;2416000;98
CRACH;199100;2305800;251
PLUSSULIEN;199200;2378100;16
PLUVIGNER;199200;2322800;356
QUEMPER-GUEZENNEC;199300;2425100;45
BIEUZY;199300;2347000;54
SAINT-CONNAN;199500;2393000;23
SAINT-AIGNAN;199700;2367300;64
ILE-D_HOUAT;199900;2279000;2
LEZARDRIEUX;200000;2436500;57
AURAY;200200;2310000;77
SAINT-GILLES-LES-BOIS;200300;2420200;41
SENVEN-LEHART;200500;2395500;45
CAUREL;200700;2371200;62
PLOURIVO;200700;2429600;187
CAMORS;200700;2328000;169
LE MERZER;200800;2411900;42
LANMODEZ;201100;2441200;24
LOCMARIAQUER;201500;2299900;19
CORLAY;201600;2381500;64
SAINT-FIACRE;201600;2397700;93
LE FAOUET;201700;2422600;6
LE HAUT-CORLAY;202200;2384800;261
LANRODEC;202600;2402500;122
LE SOURN;202700;2351100;74
SAINT-MAYEUX;202800;2376300;120
TREVEREC;203000;2420300;10
PLUMELIAU;203100;2342900;109
GOMMENEC_H;203200;2417800;53
SAINTE-ANNE-D_AURAY;203300;2313400;42
SAINT-JEAN-KERDANIEL;203600;2408400;27
PLUNERET;203600;2310900;122
GUENIN;203700;2336200;51
LANLEFF;203800;2424000;8
PAIMPOL;203800;2433000;120
BONO;203800;2306300;38
YVIAS;204000;2426500;68
LE VIEUX-BOURG;204600;2390300;67
MUR-DE-BRETAGNE;204700;2368500;127
PLOUBAZLANEC;204700;2436500;52
SAINT-GILDAS;204700;2393800;63
TREMEVEN;204700;2421600;8
PONTIVY;204700;2354800;160
GOUDELIN;204900;2414000;105
NEULLIAC;205000;2360300;48
KERFOT;205200;2428900;20
PLUMERGAT;205700;2316300;170
LA CHAPELLE-NEUVE;205800;2330500;73
BRINGOLO;205900;2410900;62
SAINT-GILLES-VIEUX-MARCHE;206100;2374500;13
LANNEBERT;206200;2419100;51
BRANDIVY;206200;2322600;111
SAINT-THURIAU;206300;2348400;76
BADEN;206400;2303800;147
HOEDIC;206400;2273000;1
LARMOR-BADEN;206500;2301300;15
BOQUEHO;206600;2398700;155
PLEHEDEL;206800;2424100;45
PLOUAGAT;206800;2405700;82
LA HARMOYE;206900;2385200;57
SAINT-MARTIN-DES-PRES;206900;2380600;187
ARZON;207100;2296100;36
PLOUGOUMELEN;207100;2308800;62
SAINT-BIHY;207200;2388400;71
LANVOLLON;207500;2417100;27
LE LESLAY;207700;2393700;12
PLUDUAL;208000;2420800;92
CHATELAUDREN;208200;2406700;27
ILE-DE-BREHAT;208300;2441300;5
TRESSIGNAUX;208400;2414500;42
KERGRIST;208400;2362900;70
SAINT-CONNEC;208800;2366500;3
MOUSTOIR-REMUNGOL;209000;2344400;29
PLOUEZEC;209100;2428800;80
COHINIAC;209300;2396700;59
PLUMELIN;209500;2333300;194
REMUNGOL;209500;2339400;43
LANLOUP;209600;2425500;10
ILE-AUX-MOINES;209900;2300100;9
SAINT-GUEN;210000;2369900;40
LE BODEO;210300;2382700;35
NOYAL-PONTIVY;210500;2353200;34
MERLEAC;210600;2376700;124
PLEGUIEN;210600;2417100;90
TREGUIDEL;210600;2413200;20
SAINT-GILDAS-DE-RHUYS;210900;2292000;63
LANFAINS;211200;2387000;33
PLOUVARA;211200;2401700;50
PLOEREN;211200;2308600;122
LE QUILLIO;211300;2373000;123
SAINT-GERAND;211300;2358400;38
LE FOEIL;211400;2392800;60
MOUSTOIR-AC;211400;2328700;619
PLELO;211500;2408000;125
QUINTIN;211500;2391200;36
GRAND-CHAMP;211600;2319600;219
PLOUHA;212200;2422200;255
PLESCOP;212400;2312500;124
ARRADON;212500;2305400;91
CROIXANVEC;212800;2361200;14
LOCMINE;213200;2332800;107
SAINT-CARADEC;213300;2367600;66
NAIZIN;213500;2345800;38
ILE-D_ARZ;213800;2300500;4
SAINT-DONAN;213900;2398000;69
LANTIC;214000;2413400;32
ALLINEUC;214100;2380700;125
HEMONSTOIR;214300;2363600;21
KERFOURN;214500;2350900;16
PLERNEUF;214600;2402400;33
TREGOMEUR;214900;2409300;59
SAINT-BRANDAN;215000;2389500;121
COLPO;215000;2325500;206
PLOURHAN;215400;2416400;70
UZEL;215400;2377300;87
SAINT-THELO;215600;2373400;56
PLAINE-HAUTE;215700;2395400;50
LOCMARIA-GRAND-CHAMP;215900;2319200;52
MOREAC;216100;2338500;253
SAINT-GONNERY;216100;2360000;24
TREVENEUC;216200;2419500;19
TREMELOIR;216400;2407300;19
GUELTAS;216800;2356100;33
MEUCON;216800;2315200;29
LA MEAUGON;217100;2402100;36
TREMUSON;217100;2404400;19
L_HERMITAGE-LORGE;217200;2383400;52
SARZEAU;217200;2292800;350
VANNES;217600;2307900;416
TREVE;217900;2369900;116
SAINT-HERVE;218000;2376400;465
LOCQUELTAS;218300;2319500;62
ETABLES-SUR-MER;218400;2415500;77
SAINT-QUAY-PORTRIEUX;218400;2418700;26
BINIC;218800;2413000;61
SAINT-JULIEN;218900;2395700;44
REGUINY;218900;2344200;128
BIGNAN;219000;2332100;169
GRACE-UZEL;219100;2373600;104
PLAINTEL;219100;2391500;203
PORDIC;219100;2409300;202
SAINT-AVE;219100;2312200;286
PLOUFRAGAN;219700;2400000;183
CREDIN;219800;2350000;27
SENE;219800;2303600;151
SAINT-MAUDAN;220100;2358100;9
SAINT-ARMEL;220400;2297000;9
SAINT-ALLOUESTRE;221000;2335400;23
SAINT-JEAN-BREVELAY;221000;2326800;196
LOUDEAC;221800;2365000;607
ROHAN;221800;2355600;39
GAUSSON;221900;2378200;43
PLOEUC-SUR-LIE;221900;2383900;274
LE HEZO;221900;2298800;23
MONTERBLANC;222700;2315600;159
NOYALO;222700;2301200;9
PLERIN;223000;2406100;313
RADENAC;223000;2339800;21
PLAUDREN;223100;2320900;188
SAINT-BRIEUC;223400;2402900;302
SAINT-CARREUC;223500;2390400;66
PLEDRAN;224100;2394800;278
TREGUEUX;224400;2399000;84
LE TOUR-DU-PARC;224400;2292900;57
SAINT-NOLFF;224700;2311800;176
PLEUGRIFFET;224900;2344700;41
SAINT-BARNABE;225100;2360700;88
LA MOTTE;225500;2371100;135
PLOUGUENAST;225500;2376200;243
BULEON;225600;2336500;19
THEIX;225700;2304700;209
BREHAN;225800;2353100;110
SURZUR;226700;2297200;238
LANTILLAC;226900;2339800;8
GUEHENNO;227100;2333200;71
LANGUEUX;227200;2400900;159
BILLIO;227300;2330500;30
TREFFLEAN;227800;2309300;34
LA CHEZE;228000;2360100;13
HENON;228300;2388200;128
PLEMY;228500;2382800;144
PLUMELEC;228800;2325700;140
YFFINIAC;229000;2397300;170
SAINT-ETIENNE-DU-GUE-DE-L_ISLE;229100;2354600;10
LA PRENESSAYE;229500;2365700;64
DAMGAN;229500;2291900;49
LANGAST;229600;2376700;125
LA TRINITE-SURZUR;229600;2301000;18
ELVEN;230400;2315200;173
QUESSOY;230500;2392600;187
LE CAMBOUT;230600;2351600;26
LA FERRIERE;230900;2361100;40
TREDION;231500;2320800;61
CRUGUEL;231600;2331300;62
HILLION;231900;2401000;164
MONCONTOUR;231900;2384900;7
SULNIAC;232200;2307000;60
GUEGON;232300;2336600;93
LAUZACH;232300;2301600;63
LE CROISIC;232700;2266000;74
PLESSALA;233000;2375000;112
PLUMIEUX;233100;2356600;92
LES FORGES;233100;2348200;14
AMBON;233200;2295500;82
POMMERET;233300;2396000;98
LANOUEE;233500;2343400;111
PIRIAC-SUR-MER;233700;2275500;24
TREDANIEL;233800;2383400;68
PLEMET;234100;2365500;158
MORIEUX;234700;2402700;317
BERRIC;234700;2304500;42
BREHAND;235300;2388600;94
JOSSELIN;235300;2339600;35
COETMIEUX;235700;2398900;35
MESLIN;235700;2394300;79
LA TURBALLE;235700;2272400;63
LA VRAIE-CROIX;235700;2310100;41
BATZ-SUR-MER;236200;2265000;45
LIZIO;236800;2329500;107
COETLOGON;236900;2359400;37
LE COURS;236900;2316700;77
SAINT-GOUENO;237100;2375800;44
SAINT-GILLES-DU-MENE;237200;2371700;38
TREBRY;237300;2383100;216
MESQUER;237300;2277300;182
BILLIERS;237500;2291500;41
SAINT-GUYOMARD;237600;2320000;76
SAINT-SERVANT;237600;2333300;64
LARRE;237700;2312900;27
PLANGUENOUAL;237800;2404000;169
LA CROIX-HELLEAN;238100;2340500;65
LA TRINITE-PORHOET;238100;2355500;49
MUZILLAC;238200;2294900;205
PENESTIN;238200;2285800;45
SERENT;238200;2325000;204
ANDEL;238800;2399600;64
SAINT-TRIMOEL;238900;2388300;29
LANDEHEN;239000;2391500;106
LA GREE-SAINT-LAURENT;239000;2344700;28
LAURENAN;239300;2368400;98
LE POULIGUEN;239300;2263300;31
NOYAL-MUZILLAC;239500;2299900;227
COLLINEE;239600;2377200;25
SAINT-GLEN;240000;2383600;25
MOHON;240000;2351500;37
GUILLAC;240200;2335900;56
HELLEAN;240400;2340900;33
GUERANDE;240900;2269900;564
GOMENE;241000;2364400;42
PLENEUF-VAL-ANDRE;241000;2409400;134
QUILY;241100;2331600;4
SAINT-MOLF;241400;2276200;148
LE ROC-SAINT-ANDRE;241600;2329700;36
BOHAL;241700;2320300;37
QUESTEMBERT;241700;2306900;317
SAINT-MALO-DES-TROIS-FONTAINES;241700;2346200;11
ASSERAC;241900;2281700;89
MOLAC;242000;2314900;66
PENGUILY;242100;2385800;41
SAINT-JACUT-DU-MENE;242100;2375300;35
L_ILE-D_YEU;242100;2200600;89
LE GOURAY;242200;2380000;32
SAINT-ALBAN;242300;2406100;136
LA MALHOURE;242400;2388600;9
LAMBALLE;242700;2396500;253
ARZAL;243100;2290800;107
