"";"grid_no";"Code2";"year";"month";"Hrel50_ee";"Hrel5_ee";"Hrel95_ee";"Vrel50_ee";"Vrel5_ee";"Vrel95_ee";"tot_grid"
"62";100086;"FR22";2012;5;0;0;0;0;0;0;33
"63";100086;"FR22";2011;2;0;0;0;0;0;0;33
"64";100086;"FR22";2012;7;0,001210852;0,000977835;0,001478648;1,41e-06;6,83e-08;5,76e-06;33
"65";100086;"FR22";2010;1;0;0;0;0;0;0;33
"66";100086;"FR22";2012;2;0;0;0;0;0;0;33
"67";100086;"FR22";2012;3;0;0;0;0;0;0;33
"68";100086;"FR22";2011;4;0;0;0;0;0;0;33
"69";100086;"FR22";2012;4;0;0;0;0;0;0;33
"70";100086;"FR22";2011;7;0,001994927;0,001631953;0,002399332;5,36e-05;2,6e-06;0,000218829;33
"71";100086;"FR22";2010;5;0;0;0;0;0;0;33
"72";100086;"FR22";2010;6;0;0;0;0;0;0;33
"73";100087;"FR30";2011;1;0;0;0;0;0;0;21
"74";100087;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"75";100087;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"76";100087;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"77";100087;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"78";100087;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"79";100087;"FR30";2010;6;0;0;0;0;0;0;21
"80";100087;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"81";100087;"FR30";2011;2;0;0;0;0;0;0;21
"82";100087;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
"83";100087;"FR30";2010;4;0;0;0;0;0;0;21
"84";100087;"FR30";2012;3;0;0;0;0;0;0;21
"85";100087;"FR30";2010;5;0;0;0;0;0;0;21
"86";100087;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"87";100087;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"88";100087;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"89";100087;"FR30";2011;3;0;0;0;0;0;0;21
"90";100087;"FR30";2012;5;0;0;0;0;0;0;21
"91";100087;"FR30";2010;3;0;0;0;0;0;0;21
"92";100087;"FR30";2010;2;0;0;0;0;0;0;21
"93";100087;"FR30";2012;6;0;0;0;0;0;0;21
"94";100087;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"95";100087;"FR30";2012;4;0;0;0;0;0;0;21
"96";100087;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"97";100087;"FR30";2011;5;0;0;0;0;0;0;21
"98";100087;"FR30";2010;1;0;0;0;0;0;0;21
"99";100087;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"100";100087;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"101";100087;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"102";100087;"FR30";2011;4;0;0;0;0;0;0;21
"103";100087;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"104";100087;"FR30";2012;1;0;0;0;0;0;0;21
"105";100087;"FR30";2011;6;0;0;0;0;0;0;21
"106";100087;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"107";100087;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"108";100087;"FR30";2012;2;0;0;0;0;0;0;21
"109";100088;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"110";100088;"FR30";2011;2;0;0;0;0;0;0;21
"111";100088;"FR30";2011;8;0,000611781;0,000490418;0,000752033;0;0;0;21
"112";100088;"FR30";2010;5;0;0;0;0;0;0;21
"113";100088;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"114";100088;"FR30";2011;1;0;0;0;0;0;0;21
"115";100088;"FR30";2012;4;0;0;0;0;0;0;21
"116";100088;"FR30";2010;4;0;0;0;0;0;0;21
"117";100088;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
"118";100088;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"119";100088;"FR30";2010;12;1,33e-05;1,07e-05;1,63e-05;0;0;0;21
"120";100088;"FR30";2011;11;0,000438924;0,000351846;0,00053956;0;0;0;21
"121";100088;"FR30";2010;1;0;0;0;0;0;0;21
"122";100088;"FR30";2012;3;0;0;0;0;0;0;21
"123";100088;"FR30";2010;6;0;0;0;0;0;0;21
"124";100088;"FR30";2012;5;0;0;0;0;0;0;21
"125";100088;"FR30";2011;3;0;0;0;0;0;0;21
"126";100088;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
"127";100088;"FR30";2010;3;0;0;0;0;0;0;21
"128";100088;"FR30";2011;7;0,000359134;0,000287883;0,000441479;3,76e-06;1,82e-07;1,54e-05;21
"129";100088;"FR30";2010;2;0;0;0;0;0;0;21
"130";100088;"FR30";2012;2;0;0;0;0;0;0;21
"131";100088;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"132";100088;"FR30";2012;6;0;0;0;0;0;0;21
"133";100088;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"134";100088;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"135";100088;"FR30";2011;5;0;0;0;0;0;0;21
"136";100088;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"137";100088;"FR30";2012;1;0;0;0;0;0;0;21
"138";100088;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"139";100088;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"140";100088;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"141";100088;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"142";100088;"FR30";2011;4;0;0;0;0;0;0;21
"143";100088;"FR30";2011;6;0;0;0;0;0;0;21
"144";100088;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"145";100089;"FR30";2010;4;0;0;0;0;0;0;21
"146";100089;"FR30";2012;8;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"147";100089;"FR30";2010;2;0;0;0;0;0;0;21
"148";100089;"FR30";2010;1;0;0;0;0;0;0;21
"149";100089;"FR30";2010;5;0;0;0;0;0;0;21
"150";100089;"FR30";2011;3;0;0;0;0;0;0;21
"151";100089;"FR30";2011;1;0;0;0;0;0;0;21
"152";100089;"FR30";2010;3;0;0;0;0;0;0;21
"153";100089;"FR30";2010;10;0,000580547;0,000475207;0,000697418;2,36e-06;1,11e-07;9,91e-06;21
"154";100089;"FR30";2012;4;0;0;0;0;0;0;21
"155";100089;"FR30";2012;12;2,66e-05;2,13e-05;3,27e-05;0;0;0;21
"156";100089;"FR30";2010;6;0;0;0;0;0;0;21
"157";100089;"FR30";2011;6;0;0;0;0;0;0;21
"158";100089;"FR30";2011;2;0;0;0;0;0;0;21
"159";100089;"FR30";2012;9;0,000445919;0,000360189;0,000544534;4,64e-07;2,24e-08;1,94e-06;21
"160";100089;"FR30";2012;3;0;0;0;0;0;0;21
"161";100089;"FR30";2012;1;0;0;0;0;0;0;21
"162";100089;"FR30";2012;5;0;0;0;0;0;0;21
"163";100089;"FR30";2012;2;0;0;0;0;0;0;21
"164";100089;"FR30";2012;11;0,000399024;0,000319865;0,000490519;0;0;0;21
"165";100089;"FR30";2010;9;0,00035289;0,000285698;0,000430224;4,64e-07;2,24e-08;1,94e-06;21
"166";100089;"FR30";2011;12;0,000180377;0,000147137;0,000216525;1,4e-06;6,68e-08;5,88e-06;21
"167";100089;"FR30";2010;8;0,000133028;0,000106633;0,000163534;0;0;0;21
"168";100089;"FR30";2011;5;0;0;0;0;0;0;21
"169";100089;"FR30";2010;11;0,000140056;0,00011441;0,000168607;2,11e-06;9,5e-08;8,75e-06;21
"170";100089;"FR30";2012;6;0;0;0;0;0;0;21
"171";100089;"FR30";2010;7;0,000478817;0,000383825;0,000588596;1,65e-06;7,97e-08;6,72e-06;21
"172";100089;"FR30";2012;10;0,001063727;0,000852745;0,001307521;0;0;0;21
"173";100089;"FR30";2011;10;0,00051299;0,000415684;0,000624103;9,42e-07;4,45e-08;3,96e-06;21
"174";100089;"FR30";2012;7;0,00071814;0,000575683;0,000882764;0;0;0;21
"175";100089;"FR30";2011;9;0,000758021;0,000607656;0,000931784;0;0;0;21
